State,Age-Adjusted Prevalence (%),95% Confidence Interval,Quartile
Alabama,41.4,39.2 - 43.6,38.9 - 50.2
Alaska,37.6,35.8 - 39.4,36.7 - 38.8
Arizona,36.1,34.4 - 37.8,33.8 - 36.6
Arkansas,39.9,38.0 - 41.8,38.9 - 50.2
California,35.2,33.8 - 36.5,33.8 - 36.6
Colorado,30.6,29.4 - 31.8,30.0 - 33.4
Connecticut,36.4,34.9 - 37.9,33.8 - 36.6
Delaware,37.3,35.0 - 39.6,36.7 - 38.8
District of Columbia,31.8,29.7 - 34.0,30.0 - 33.4
Florida,38.8,37.0 - 40.8,36.7 - 38.8
Georgia,38.8,37.2 - 40.4,36.7 - 38.8
Guam,50.2,45.9 - 54.4,38.9 - 50.2
Hawaii,45.9,44.2 - 47.6,38.9 - 50.2
Idaho,33.2,31.8 - 34.7,30.0 - 33.4
Illinois,36.7,34.8 - 38.7,36.7 - 38.8
Indiana,38.6,37.4 - 39.9,36.7 - 38.8
Iowa,34.2,32.8 - 35.6,33.8 - 36.6
Kansas,36.7,35.3 - 38.0,36.7 - 38.8
Kentucky,39.6,37.5 - 41.9,38.9 - 50.2
Louisiana,40.5,38.7 - 42.3,38.9 - 50.2
Maine,33.4,31.9 - 34.9,30.0 - 33.4
Maryland,38.7,37.5 - 40.0,36.7 - 38.8
Massachusetts,33.2,31.9 - 34.5,30.0 - 33.4
Michigan,36.4,35.0 - 37.7,33.8 - 36.6
Minnesota,30.3,29.3 - 31.4,30.0 - 33.4
Mississippi,38.6,36.7 - 40.6,36.7 - 38.8
Missouri,37.7,36.1 - 39.3,36.7 - 38.8
Montana,32.9,31.4 - 34.5,30.0 - 33.4
Nebraska,31.5,29.9 - 33.1,30.0 - 33.4
Nevada,39.3,36.8 - 42.0,38.9 - 50.2
New Hampshire,33.8,31.8 - 35.8,33.8 - 36.6
New Jersey,37.9,36.4 - 39.5,36.7 - 38.8
New Mexico,34.1,32.1 - 36.3,33.8 - 36.6
New York,38.8,37.7 - 39.9,36.7 - 38.8
North Carolina,35,33.1 - 37.0,33.8 - 36.6
North Dakota,34,32.2 - 35.9,33.8 - 36.6
Ohio,39.9,38.7 - 41.1,38.9 - 50.2
Oklahoma,36.2,34.7 - 37.8,33.8 - 36.6
Oregon,31.8,30.2 - 33.4,30.0 - 33.4
Pennsylvania,38.1,36.0 - 40.2,36.7 - 38.8
Puerto Rico,38.9,37.0 - 40.7,38.9 - 50.2
Rhode Island,36.2,34.4 - 38.2,33.8 - 36.6
South Carolina,36.6,35.1 - 38.0,33.8 - 36.6
South Dakota,32.9,29.4 - 36.5,30.0 - 33.4
Tennessee,39.8,38.0 - 41.7,38.9 - 50.2
Texas,37.1,35.6 - 38.7,36.7 - 38.8
Utah,34.3,33.0 - 35.5,33.8 - 36.6
Vermont,30,28.5 - 31.5,30.0 - 33.4
Virgin Islands,39.9,33.3 - 46.9,38.9 - 50.2
Virginia,36.9,35.5 - 38.4,36.7 - 38.8
Washington,32.8,32.0 - 33.6,30.0 - 33.4
West Virginia,42.6,40.7 - 44.5,38.9 - 50.2
Wisconsin,33.9,32.6 - 35.2,33.8 - 36.6
Wyoming,33.4,31.4 - 35.4,30.0 - 33.4
